propertyType,rooms,size,buildYear,cluster_100m,adj_price,cluster_1000m,avg_adjusted_sqm_price_100m,avg_adjusted_sqm_price_1000m
3,3.0,98,1929,8,4550050,0,46428,40575
3,2.0,73,1985,2,2426693,0,33241,37211
3,3.0,80,2009,6,2588473,0,32355,35867
3,2.0,71,1925,1,3536905,0,49814,44189
3,3.0,100,2022,20,4929221,0,49292,51831
3,2.0,62,2004,1,2022244,0,32616,44189
3,2.0,65,1929,8,3134479,0,48222,40575
3,2.0,71,1976,44,1971688,0,27769,26806
3,3.0,69,2009,45,2457027,0,35608,36391
3,2.0,63,2010,46,1769464,0,28085,29184
3,3.0,89,2005,1,2982810,0,33514,44189
3,1.0,57,1888,5,2502527,0,43903,45759
3,3.0,92,2006,47,1850353,5,20112,20853
3,3.0,93,1938,48,3559150,0,38269,36793
3,4.0,99,2007,49,2502527,0,25278,24878
3,4.0,93,1911,5,5030333,0,54088,45759
3,6.0,138,1896,5,6370070,0,46159,45759
3,2.0,100,2022,13,4347826,0,43478,49653
3,3.0,96,2017,1,3538928,0,36863,44189
3,3.0,77,1935,8,2957532,0,28994,40575
3,4.0,94,1931,1,3162790,0,33646,44189
3,2.0,78,2013,0,2780586,0,35648,47731
3,3.0,69,1955,15,2376137,0,34435,37312
3,2.0,59,1944,32,2052578,0,34788,35933
3,4.0,104,1933,6,2957532,0,28437,35867
3,3.0,83,1901,1,3638018,0,43831,44189
3,2.0,70,1930,1,3437815,0,49111,44189
3,3.0,89,2014,0,3791708,0,42602,47731
3,2.0,69,1980,9,2082912,0,30187,25860
3,4.0,145,1897,1,7082912,0,48847,44189
3,3.0,85,1876,5,3842264,0,45202,45759
3,2.0,55,1901,1,2457027,0,44672,44189
3,2.0,61,1910,1,3201718,0,52486,44189
3,3.0,80,1960,50,2401415,0,30017,27822
3,3.0,151,2022,0,7482305,0,49551,47731
3,4.0,118,2022,0,4373104,0,37059,47731
3,2.0,51,2020,1,2477249,0,48573,44189
3,3.0,83,1967,50,1951466,0,23511,27822
3,2.0,63,1935,1,2502527,0,39721,44189
3,2.0,58,2013,21,2315470,0,39921,47239
3,2.0,77,2013,0,2856420,0,37096,47731
3,2.0,56,1940,51,2320525,0,41437,38573
3,2.0,57,1920,1,2735085,0,47983,44189
3,4.0,129,1966,52,4095045,0,31744,36405
3,3.0,62,1899,1,2577350,0,41569,44189
3,3.0,106,2022,0,6268958,0,59140,47731
3,2.0,49,1883,1,2173913,0,44365,44189
3,4.0,82,2006,53,1971688,0,24044,30365
3,2.0,58,1960,32,1794742,0,30943,35933
3,4.0,215,2022,13,15267947,0,71013,49653
3,4.0,137,2018,1,7785642,0,56829,44189
3,2.0,57,1937,15,1971688,0,34590,37312
3,3.0,79,1920,1,3033367,0,38396,44189
3,2.0,56,1985,5,2299292,0,41058,45759
3,2.0,69,1935,8,2884732,0,41806,40575
3,2.0,55,1902,5,2325581,0,42283,45759
3,2.0,63,1939,4,2123356,0,33703,32232
3,3.0,106,2022,0,6342770,0,59837,47731
3,2.0,68,2011,1,2775530,0,40815,44189
3,2.0,47,1910,1,2376137,0,50556,44189
3,4.0,96,1928,8,5561172,0,57928,40575
3,3.0,75,1933,6,2173913,0,28984,35867
3,2.0,61,1933,1,2098078,0,34394,44189
3,3.0,100,2022,20,4524772,0,45247,51831
3,2.0,70,1900,3,2982810,0,42610,42193
3,2.0,60,1937,1,2770475,0,46173,44189
3,4.0,122,1976,1,3973710,0,32571,44189
3,2.0,63,2017,5,3031344,0,48116,45759
3,4.0,95,1901,1,3842264,0,40444,44189
3,3.0,89,1968,10,2730030,0,30674,31481
3,2.0,55,2004,3,2133468,0,38789,42193
3,2.0,73,1935,8,2689585,0,36843,40575
3,2.0,55,1894,5,2730030,0,49635,45759
3,3.0,73,1901,1,2709807,0,37120,44189
3,2.0,57,1938,1,2123356,0,37251,44189
3,3.0,106,2022,0,5965621,0,56279,47731
3,3.0,56,1929,1,2829120,0,50519,44189
3,3.0,56,2015,54,1794742,6,32048,29959
3,4.0,108,1967,55,2401415,0,22234,25345
3,4.0,116,1920,1,5257836,0,45325,44189
3,2.0,62,1933,1,2526794,0,40754,44189
3,3.0,67,1889,5,3437815,0,51310,45759
3,3.0,102,2005,36,2376137,0,23295,31658
3,2.0,55,2013,21,2424671,0,44084,47239
3,3.0,93,2022,20,5333670,0,57350,51831
